champion,games,wins,avg_kills,avg_deaths,avg_assists,avg_gold,avg_damage,winrate
RekSai,3,2,7.333333333333333,10.333333333333334,28.666666666666668,12067.666666666666,24954.666666666668,66.67
Yorick,3,2,11.666666666666666,8.666666666666666,24.0,13625.666666666666,38483.666666666664,66.67
Xerath,30,20,11.033333333333333,7.433333333333334,29.0,13352.4,33766.86666666667,66.67
Neeko,24,16,8.583333333333334,10.583333333333334,24.125,12349.958333333334,27263.708333333332,66.67
DrMundo,9,6,6.888888888888889,9.222222222222221,21.444444444444443,11244.666666666666,27402.444444444445,66.67
Camille,12,8,11.333333333333334,11.833333333333334,20.333333333333332,12890.25,25352.0,66.67
Fizz,9,6,13.222222222222221,12.666666666666666,18.11111111111111,13586.111111111111,27830.0,66.67
TahmKench,11,7,8.181818181818182,9.454545454545455,22.90909090909091,12226.181818181818,25458.81818181818,63.64
Mordekaiser,11,7,11.363636363636363,12.0,20.272727272727273,13312.636363636364,29110.363636363636,63.64
Pantheon,19,12,11.0,11.105263157894736,21.473684210526315,13152.21052631579,28546.0,63.16
Rumble,19,12,10.0,8.578947368421053,20.842105263157894,12074.736842105263,28449.21052631579,63.16
Kayn,8,5,7.875,12.5,20.0,12813.25,21068.625,62.5
Kassadin,8,5,13.0,13.875,21.625,14183.125,34489.375,62.5
Sivir,24,15,11.25,9.916666666666666,29.25,14190.333333333334,32581.166666666668,62.5
Irelia,16,10,11.6875,13.5625,18.5625,13506.6875,30808.1875,62.5
Elise,13,8,11.76923076923077,9.615384615384615,22.307692307692307,14240.0,32998.46153846154,61.54
Yuumi,13,8,3.3076923076923075,3.3076923076923075,32.30769230769231,9951.384615384615,15808.76923076923,61.54
Poppy,18,11,5.444444444444445,10.0,21.0,10965.611111111111,19076.777777777777,61.11
Maokai,23,14,4.739130434782608,10.347826086956522,31.217391304347824,12162.782608695652,23944.217391304348,60.87
Viktor,23,14,9.956521739130435,8.608695652173912,24.391304347826086,13680.173913043478,33991.565217391304,60.87
Yasuo,28,17,10.428571428571429,12.321428571428571,18.857142857142858,13989.42857142857,26682.60714285714,60.71
Lulu,28,17,2.6785714285714284,5.607142857142857,35.857142857142854,11157.464285714286,7565.107142857143,60.71
Renekton,10,6,10.5,9.2,20.4,12806.5,24549.2,60.0
Jinx,50,30,12.28,10.66,22.44,14865.48,31170.24,60.0
Hecarim,5,3,12.6,14.4,23.6,14511.6,33006.0,60.0
Draven,10,6,12.4,8.0,17.2,14382.8,25092.3,60.0
Renata,15,9,2.8666666666666667,7.666666666666667,31.866666666666667,10732.066666666668,11313.2,60.0
Zoe,17,10,12.588235294117647,8.352941176470589,22.764705882352942,13013.117647058823,33137.41176470588,58.82
Shaco,29,17,12.931034482758621,10.172413793103448,24.862068965517242,14596.344827586207,33305.137931034486,58.62
Braum,12,7,3.4166666666666665,9.25,35.166666666666664,11588.666666666666,15198.333333333334,58.33
Shen,19,11,6.0,10.157894736842104,26.31578947368421,11854.473684210527,19298.105263157893,57.89
Aphelios,19,11,12.0,9.0,16.63157894736842,13499.526315789473,26030.315789473683,57.89
Corki,19,11,14.263157894736842,9.894736842105264,20.473684210526315,15125.684210526315,31898.894736842107,57.89
Caitlyn,33,19,11.757575757575758,9.848484848484848,21.90909090909091,14176.242424242424,31262.21212121212,57.58
Heimerdinger,7,4,8.714285714285714,7.285714285714286,20.571428571428573,11377.285714285714,26997.714285714286,57.14
Samira,21,12,15.333333333333334,12.238095238095237,18.761904761904763,15118.714285714286,33914.09523809524,57.14
Volibear,7,4,5.285714285714286,7.142857142857143,16.428571428571427,10810.285714285714,19372.571428571428,57.14
Rammus,7,4,5.285714285714286,11.285714285714286,30.714285714285715,11749.57142857143,19107.14285714286,57.14
Rakan,7,4,2.5714285714285716,9.142857142857142,32.285714285714285,10314.714285714286,10191.857142857143,57.14
Blitzcrank,35,20,5.3428571428571425,9.428571428571429,26.82857142857143,11776.6,18420.657142857144,57.14
Ahri,30,17,9.8,10.433333333333334,24.966666666666665,13313.166666666666,29192.7,56.67
Urgot,9,5,8.0,9.444444444444445,15.222222222222221,11019.555555555555,19683.555555555555,55.56
Cassiopeia,9,5,7.111111111111111,9.777777777777779,26.11111111111111,12027.0,27320.666666666668,55.56
Varus,36,20,11.583333333333334,8.416666666666666,23.5,13620.75,31907.333333333332,55.56
Thresh,27,15,5.851851851851852,9.851851851851851,29.74074074074074,11615.074074074075,17642.48148148148,55.56
Fiora,9,5,12.777777777777779,11.88888888888889,20.88888888888889,14811.333333333334,28449.0,55.56
Morgana,20,11,7.65,7.9,29.45,12492.8,25383.25,55.0
Ekko,11,6,13.545454545454545,12.727272727272727,23.09090909090909,14645.90909090909,34385.09090909091,54.55
AurelionSol,22,12,12.045454545454545,10.272727272727273,27.772727272727273,14196.09090909091,31071.363636363636,54.55
Nami,11,6,2.8181818181818183,7.636363636363637,40.81818181818182,11822.09090909091,13141.0,54.55
